,X,tracks,track_id,popularity,artist,artist_full,artist_id,album,album_id,user_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,analysis_url,display_name,user_followers,artist.1,genres,artist_id.1,artist_popularity,artist_followers,year
453,453,Points of Authority / 99 Problems / One Step Closer,65eohvrL4ttjA7EfFkQOhX,0.6,JAY-Z,JAY-Z feat. Linkin Park,3nFkdlSjzX9mRTtwJOzDYB,Collision Course (Deluxe Version),5NH94cATqx5fjBE794xZLy,husaymonji,0.547,0.951,1,-4.079,0,0.151,0.00272,1.14E-05,0.0862,0.51,95.031,295827,4,spotify:track:65eohvrL4ttjA7EfFkQOhX,https://api.spotify.com/v1/audio-analysis/65eohvrL4ttjA7EfFkQOhX,szx,26,JAY-Z,"east coast hip hop,hip hop,rap",3nFkdlSjzX9mRTtwJOzDYB,86,6801469,2020
454,454,Long Way Up,4QLNLQoDhnY5bjvO3iDDyX,0.5,Courage,Courage feat. Bellah feat. kadiata,1kGMaFXRovFOZJqxbVdnHq,"Get Some Courage, Vol. 2",36nvnnATd0JaiVU4F2w5PI,husaymonji,0.721,0.649,3,-6.43,0,0.0461,0.465,0.000298,0.0968,0.906,169.956,195720,4,spotify:track:4QLNLQoDhnY5bjvO3iDDyX,https://api.spotify.com/v1/audio-analysis/4QLNLQoDhnY5bjvO3iDDyX,szx,26,Courage,,1kGMaFXRovFOZJqxbVdnHq,37,3587,2020
455,455,Limguhit,4J7DDKr3n7ORnMLOzU2IbM,0.22,Bullet Dumas,Bullet Dumas feat. KC Tan feat. Jacques Dufourt feat. Yuna Reguerra,1hFH6NZJrhl0Un65IZxlZH,USISA,7B8fw0oZMsyFsqItcF7eqn,husaymonji,0.449,0.474,4,-9.216,0,0.0491,0.607,2.74E-05,0.149,0.177,142.726,428738,4,spotify:track:4J7DDKr3n7ORnMLOzU2IbM,https://api.spotify.com/v1/audio-analysis/4J7DDKr3n7ORnMLOzU2IbM,szx,26,Bullet Dumas,"pinoy indie,pinoy rock",1hFH6NZJrhl0Un65IZxlZH,26,27056,2020
456,456,Hayop,2JHar5d2XBvxupQJngVgb5,0.24,Illustrado,Illustrado feat. Supreme Fist,1nSimtmn2BcWySymd0bBFJ,Illustrado,4AQyb9mskJ7u7REkFPiivm,husaymonji,0.667,0.888,11,-6.253,1,0.286,0.649,0,0.367,0.732,90.036,305337,4,spotify:track:2JHar5d2XBvxupQJngVgb5,https://api.spotify.com/v1/audio-analysis/2JHar5d2XBvxupQJngVgb5,szx,26,Illustrado,"pinoy alternative rap,pinoy hip hop,tagalog rap",1nSimtmn2BcWySymd0bBFJ,25,4854,2020
457,457,Numb / Encore,7dyluIqv7QYVTXXZiMWPHW,0.71,JAY-Z,JAY-Z feat. Linkin Park,3nFkdlSjzX9mRTtwJOzDYB,Collision Course (Deluxe Version),5NH94cATqx5fjBE794xZLy,husaymonji,0.685,0.803,2,-4.251,1,0.156,0.0601,0,0.546,0.799,107.005,205280,4,spotify:track:7dyluIqv7QYVTXXZiMWPHW,https://api.spotify.com/v1/audio-analysis/7dyluIqv7QYVTXXZiMWPHW,szx,26,JAY-Z,"east coast hip hop,hip hop,rap",3nFkdlSjzX9mRTtwJOzDYB,86,6801469,2020
458,458,Not Today,4hrpoqJMVE7FxBu1YWx0eQ,0.72,BTS,BTS,3Nrfpe0tUJi4K4DXYWgMUX,You Never Walk Alone,7LF4N7lvyDhrPBuCJ1rplJ,husaymonji,0.594,0.946,8,-3.408,1,0.126,0.00181,1.04E-06,0.923,0.665,110.024,231860,4,spotify:track:4hrpoqJMVE7FxBu1YWx0eQ,https://api.spotify.com/v1/audio-analysis/4hrpoqJMVE7FxBu1YWx0eQ,szx,26,BTS,"k-pop,k-pop boy group",3Nrfpe0tUJi4K4DXYWgMUX,96,42733517,2020
459,459,BLEACH,0dWOFwdXrbBUYqD9DLsoyK,0.72,BROCKHAMPTON,BROCKHAMPTON,1Bl6wpkWCQ4KVgnASpvzzA,SATURATION III,5c2AzoNyr46fCQM5d8mxE0,husaymonji,0.595,0.657,1,-6.498,0,0.183,0.462,0.000597,0.437,0.718,156.093,273151,4,spotify:track:0dWOFwdXrbBUYqD9DLsoyK,https://api.spotify.com/v1/audio-analysis/0dWOFwdXrbBUYqD9DLsoyK,szx,26,BROCKHAMPTON,"boy band,hip hop,pop,rap",1Bl6wpkWCQ4KVgnASpvzzA,74,1897510,2020
460,460,Pssst!,7AucqRAIK2sIQMVc5Psoc9,0.24,Bullet Dumas,Bullet Dumas,1hFH6NZJrhl0Un65IZxlZH,Bullet Dumas,2UZhawvNsdrVrhrxKiVwOz,husaymonji,0.487,0.373,8,-14.093,1,0.0558,0.682,0.0191,0.166,0.771,80.949,231125,4,spotify:track:7AucqRAIK2sIQMVc5Psoc9,https://api.spotify.com/v1/audio-analysis/7AucqRAIK2sIQMVc5Psoc9,szx,26,Bullet Dumas,"pinoy indie,pinoy rock",1hFH6NZJrhl0Un65IZxlZH,26,27056,2020
461,461,Boo'd Up,0At2qAoaVjIwWNAqrscXli,0.72,Ella Mai,Ella Mai,7HkdQ0gt53LP4zmHsL0nap,READY,3o09FMrUQ5TVBUYb6msCMi,husaymonji,0.561,0.779,10,-5.107,0,0.0531,0.0862,0,0.078,0.235,81.965,256064,4,spotify:track:0At2qAoaVjIwWNAqrscXli,https://api.spotify.com/v1/audio-analysis/0At2qAoaVjIwWNAqrscXli,szx,26,Ella Mai,"dance pop,pop,pop r&b,pop rap,r&b,uk contemporary r&b,urban contemporary",7HkdQ0gt53LP4zmHsL0nap,72,3999516,2020
462,462,Anpanman,01gUlvzAPiwB9Ekq9kGVCM,0.72,BTS,BTS,3Nrfpe0tUJi4K4DXYWgMUX,Love Yourself <U+7D50> 'Answer',2lATw9ZAVp7ILQcOKPCPqp,husaymonji,0.813,0.875,1,-2.92,0,0.0918,0.0237,0,0.288,0.756,99.004,232966,4,spotify:track:01gUlvzAPiwB9Ekq9kGVCM,https://api.spotify.com/v1/audio-analysis/01gUlvzAPiwB9Ekq9kGVCM,szx,26,BTS,"k-pop,k-pop boy group",3Nrfpe0tUJi4K4DXYWgMUX,96,42733517,2020
463,463,Run This Town,7LR85XLWw2yXqKBSI5brbG,0.76,JAY-Z,JAY-Z feat. Rihanna feat. Kanye West,3nFkdlSjzX9mRTtwJOzDYB,The Blueprint 3,2CUT0104gySOIvqwtXeFsX,husaymonji,0.632,0.924,1,-1.802,1,0.29,0.281,0,0.263,0.441,86.844,267520,4,spotify:track:7LR85XLWw2yXqKBSI5brbG,https://api.spotify.com/v1/audio-analysis/7LR85XLWw2yXqKBSI5brbG,szx,26,JAY-Z,"east coast hip hop,hip hop,rap",3nFkdlSjzX9mRTtwJOzDYB,86,6801469,2020
464,464,Kill This Love,0M98PvIvx7vZ8LDpzMw1hB,0.03,BLACKPINK,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,Kill This Love,2Pz8VAMiGc9UW1rrbBRDuO,husaymonji,0.738,0.861,2,-4.141,1,0.237,0.318,0.00182,0.325,0.58,131.98,189052,4,spotify:track:0M98PvIvx7vZ8LDpzMw1hB,https://api.spotify.com/v1/audio-analysis/0M98PvIvx7vZ8LDpzMw1hB,szx,26,BLACKPINK,"k-pop,k-pop girl group",41MozSoPIsD1dJM0CLPjZF,84,26847016,2020
465,465,Di Matitinag,4CjaSwjVCn8pnVICxp6Pm5,0.25,Calix,Calix feat. BLKD,3gEaOQBVDqW6dRJtFap8pi,The Lesser Of Your Greater Friends,6Z2I9KBMRFCXPw0PA78rvR,husaymonji,0.851,0.534,0,-8.869,0,0.306,0.0228,2.22E-06,0.218,0.305,135.085,247582,4,spotify:track:4CjaSwjVCn8pnVICxp6Pm5,https://api.spotify.com/v1/audio-analysis/4CjaSwjVCn8pnVICxp6Pm5,szx,26,Calix,pinoy trap,3gEaOQBVDqW6dRJtFap8pi,28,6170,2020
466,466,Burning Up (Fire),4z9gBZQjGS4QLb4LOvmeuA,0.75,BTS,BTS,3Nrfpe0tUJi4K4DXYWgMUX,The Most Beautiful Moment in Life: Young Forever,7qvA0kf1dkmR1As2gOnBPn,husaymonji,0.627,0.706,10,-3.201,0,0.0597,0.00227,0,0.122,0.536,99.93,203352,4,spotify:track:4z9gBZQjGS4QLb4LOvmeuA,https://api.spotify.com/v1/audio-analysis/4z9gBZQjGS4QLb4LOvmeuA,szx,26,BTS,"k-pop,k-pop boy group",3Nrfpe0tUJi4K4DXYWgMUX,96,42733517,2020
467,467,Liebesleid (Love's Sorrow),38EmZT3oWA6lJE0o4ajfG8,0.58,Fritz Kreisler,Fritz Kreisler feat. Sergei Rachmaninoff feat. RueiBin Chen,0HdNDZaNm7xLt18v9aWDfe,Rachmaninov: Piano Transcriptions,2uRsuasNpWobqUnPq2woeN,husaymonji,0.331,0.169,9,-19.859,1,0.0325,0.994,0.886,0.121,0.258,97.836,253573,4,spotify:track:38EmZT3oWA6lJE0o4ajfG8,https://api.spotify.com/v1/audio-analysis/38EmZT3oWA6lJE0o4ajfG8,szx,26,Fritz Kreisler,"classical,post-romantic era,violin",0HdNDZaNm7xLt18v9aWDfe,51,32280,2020
